,college,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCE,PCS,PR,Rank
12,Bharathidasan University,9.42,22.8,17.24,8.38,0,18.16,17.39,0,0.84,51.85,22.33,1.23,28.46,2.36,20,12.31,70
68,Mysore University,14,21.97,15.78,9.68,6,7.16,10.06,1,0.38,60,27.02,6.52,27.47,2.63,18,5.01,71
20,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",12.76,25,13.3,6.7,0,13.51,15.45,1.5,0.28,60,7.91,13,24.7,8.38,20,23,72
46,Indian Institute of Technology Mandi,6.99,18.26,14.92,11.52,5,17.9,16.87,2,0.59,53.51,9.53,22.07,16.21,9.31,20,14.39,73
78,"Punjab Agricultural University, Ludhiana",11.93,25,18.95,14.65,0,11.24,12.9,1.5,2.65,53.51,13.97,1.93,28.23,0.21,20,7.82,74
18,Datta Meghe Institute of Higher Education and Research,13.81,25,18.1,10.25,0,12.63,12.22,7,1,57.48,4.67,12.88,30,1.88,20,0,75
6,"Andhra University, Visakhapatnam",15,14.77,11.31,13.3,0,10.02,10.57,2.5,2.65,60,24.77,3.7,28.92,6.01,20,16.92,76
60,King George`s Medical University,9.05,25,18.09,18.69,0,12.51,12.48,0.5,1.15,60,3.34,4.85,27.52,4.27,20,9.48,77
52,Jamia Hamdard,14.55,19.62,14.16,7.7,0,12.91,17.22,1,1.36,60,10.37,15.95,28.91,1.17,20,11.7,78
96,UPES,14.5,22.82,13.54,7.33,0,10.52,13.81,4,0.35,60,0.55,22.24,24.74,0.07,20,34.47,79
87,Sri Sivasubramaniya Nadar College of Engineering,10,23.69,16.13,7.97,0,17.37,16.7,2.5,0.45,60,7.61,4.3,25.52,3.81,20,8.49,80
21,Dr. D. Y. Patil Vidyapeeth,12.25,25,18.41,14.98,0,7.86,10.01,1,1.68,60,3.6,12.13,30,0.23,20,18.53,81
98,"Visvesvaraya National Institute of Technology, Nagpur",11.65,18.09,14.54,9.65,0,15.16,14.96,7,1.9,60,8.88,13.76,18.49,3.41,20,9.45,82
73,National Institute of Technology Silchar,13.28,16.29,13.16,8.63,0,19.02,18.85,4.5,0.44,60,8.84,15.25,14.89,4.02,20,6.78,83
80,Sathyabama Institute of Science and Technology,13.07,21.78,12.97,5.57,0,14.27,15.42,5,1.04,57.32,7.35,16.96,28.26,1.17,20,16.38,84
23,Gujarat University,12.89,25,15.64,9.31,2,5.78,7.81,1,4.03,60,23.31,9.33,30,0,20,2.77,85
3,"All India Institute of Medical Sciences, Rishikesh",7.04,25,18.51,20,0,16.51,13.08,0,0.09,49.57,0,22.35,26.87,0.37,20,9.48,86
24,Guru Nanak Dev University,15.85,19.11,11.19,8.59,0,10.36,15.05,0,1.81,60,17.53,7.37,30,5.1,20,12.01,87
88,SVKM`s Narsee Monjee Institute of Management Studies,13.81,24.86,16.35,13.85,1.5,7.09,9.95,3,1.3,60,4.97,15,29.62,0,20,5.01,88
22,Graphic Era University,13,25,12.83,6.62,0,6.39,9.26,7,0.3,60,4.11,20.97,28.52,0.49,20,33.38,89
70,National Institute of Technology Durgapur,11.76,16.81,13.35,9.2,0,16.69,16.2,1,0.68,60,12.25,15.19,12.77,8.16,20,10.45,90
35,Indian Institute of Technology Bhubaneswar,8.52,15.4,12.73,10.7,0,17.7,17.7,1,0.93,60,7.86,22.03,9.74,6.48,20,19.31,91
99,Visvesvaraya Technological University,7.83,24.44,14.42,12.17,0,17.6,15.45,1.5,0.14,60,1.46,0.39,29.61,7.77,20,3.53,92
90,Tamil Nadu Agricultural University,13.29,25,18.15,13.32,1.5,5.02,6.39,1,2.37,51.46,18.35,2.15,30,3.02,20,10.45,93
63,Madurai Kamaraj University,7.74,25,18.65,9.57,2.5,10.6,12.74,0.5,0.6,57.2,11.47,2.79,29.01,0,20,10.45,94
84,Shiv Nadar University,9,25,18.93,12.33,0,10.4,12.42,1,0.41,53.91,5.32,17.65,25.79,1.9,20,9.48,95
67,Mumbai University,14.39,16.49,10.88,11.9,2.5,6.93,8.67,1,1.22,60,26.24,2.8,29.43,4.04,20,7.82,96
10,Banasthali Vidyapith,16.5,16.53,11.69,5.74,0,6.11,9.44,1,1.17,60,24.22,24.68,30,2.63,20,8.15,97
86,Sri Ramachandra Institute of Higher Education and Research,12.29,25,17.89,13.67,0,8.16,7.91,1,1.45,60,2.74,9.73,30,3.17,20,7.82,98
27,Indian Institute of Management Calcutta,6.94,20.85,16.27,16.57,0,4.48,6.41,0,3.69,60,3.6,24.42,21.79,0,20,38.4,99
16,Christ University,17.21,18.52,12.74,3.67,0,4.99,8.96,4.5,0.52,60,7.2,19.24,28.7,1.89,20,39.05,100
